,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
530,984,61,Top coat,Top of the line! very well made and on sale to boot. i love the style and received a compliment from my sister when i wore it. i love the layered look.,5,1,0,General,Jackets,Jackets
532,833,56,Sleeves are really small,This shirt is really pretty but the sleeves are so small. i normally wear between a 4 to a 6 or a size medium and i could not get this shirt on. i wish it fit but a size large would have been way to long and loose.,3,1,0,General,Tops,Blouses
534,850,39,Perfect top!,This blouse fit better than i expected. looks great with jeans and is an easy go to top!,5,1,0,General,Tops,Blouses
536,984,53,,,5,1,0,General,Jackets,Jackets
537,850,45,Perfect balance of classy and sexy,I love this top! not sure if i would picked it up in the store; i received it as a gift from my husband. kudos to him as it was a great choice. i love that the sheerness and lace make me feel a little sexy but the long sleeves and camisole offer the modesty i tend to crave. really beautiful and can be worn either with jeans or a dressier skinny pant for a night out. hd in paris never fails to please with their aesthetic and quality.,5,1,1,General,Tops,Blouses
538,850,28,Great top,This top is great for spring- it's super light and can be dressed up or down depending on what you're wearing it for. fits true to size and is great quality.,4,1,0,General,Tops,Blouses
541,984,46,,Love love love this jacket!! great spring and fall weather.. very stylish!!,5,1,0,General,Jackets,Jackets
542,984,56,,,5,1,0,General,Jackets,Jackets
544,1104,35,Great fit,I purchased this dress because i have a similar one with a linen skirt from the spring. the skirt on this dress is a heavier fabric and it lays very nicely. the top provides good coverage for my larger chest and i took my typical xs size. i would definitely recommend this purchase.,5,1,0,General,Dresses,Dresses
549,850,44,Feminine and pretty,This top is gorgeous and versatile. i wear it with jeans and dress it up with a skirt. so happy to have this in my wardrobe.,5,1,0,General,Tops,Blouses
554,1078,45,,,5,1,0,General,Dresses,Dresses
555,984,35,Love! my new favorite jacket!,"I was looking for a stylish spring/fall jacket and this one seemed to fit the bill. i was shocked by the quality and softness of the material and construction of this jacket. i could honestly not believe how comfortable and cute this felt and looked on me. i can't wear it enough! i am a short 5'2"" but 36d and have 31"" waist so i ordered a size m and l to see which would work best. as it turned out the m fit with plenty of room! i am normally a 12/14 so i was surprised by this. if you are on the",5,1,0,General,Jackets,Jackets
557,1086,32,Love the lace detail,I really wanted this to work. for me the arm cutout was too wide. a cap or lace flutter sleeve would've worked . also expected a little more length felt like the petite length.,4,1,0,General,Dresses,Dresses
561,1094,34,A must buy!!,"I tried this dress on and felt amazing in it.  i got home and showed my husband my purchases.  i told him i wasn't sure if i should have bought this one and told him to be honest with me.  he said it looked great and he was glad i bought it.  so great for a spring wedding. fits true to size.  i am 125 5'4"" c-cup and i bought my normal size 0.  this made my waist look really small.",5,1,0,General,Dresses,Dresses
562,995,48,,,5,1,0,General,Bottoms,Skirts
571,820,44,,,4,1,0,General,Tops,Blouses
574,833,65,,,1,0,0,General,Tops,Blouses
580,1037,38,,,3,0,0,General,Bottoms,Jeans
583,1060,39,Not for me,Well made. made my hips looks giant. just not my style unfortunately. i'd have to work at preschool or on a ship to pull this off. i'm 5'3 120-123lbssize 6-8. i got the size 6 (not petite cuz they were sold out).,3,0,0,General,Bottoms,Pants
588,875,46,Awkward style,Fits very strange. odd cut. does not look well on.,2,0,1,General,Tops,Knits
592,833,33,Super flattering,Love this top! it is super flattering with a long floaty body. i usually wear a 4 but sized up to a 6 due to the reviews and am happy with it but think a 4 would have fit as well.,5,1,2,General,Tops,Blouses
593,820,52,Pretty tank,Love tanks and this one is sweet and flowy. great with jeans/shorts or slacks with a jacket for the office. beautiful yellow floral with fun straps in the back that you can wear with a bra. front neckline is cut narrow so bra straps show but with nude or plastic straps it's not that big a deal.,5,1,0,General,Tops,Blouses
596,1037,47,Too bad!,Very nice fabric but disappointed in the stitching on the knees. it looks nice but makes the pants very uncomfortable and tight around the knees. too bad because i love the style and hoped they would work!,3,1,0,General,Bottoms,Jeans
601,835,64,Western look,This top has a western look with lots of black and some burgundy shades.  it is very cute and the fabric is soft.,5,1,1,General,Tops,Blouses
610,995,34,No shape,It looks like you are wearing cargo shorts. really unflattering. avoid buying this skirt,2,0,1,General,Bottoms,Skirts
611,252,35,,,4,1,0,Initmates,Intimate,Swim
615,985,65,Perfect fall jacket,This jacket is well-made and smart looking. it gave me just the boost i needed today at a difficult meeting. thank you retailer!,5,1,0,General,Jackets,Jackets
619,252,36,,Ordered the navy and aqua in medium. the aqua fit a lot tighter than the navy seemed to be a different fabric and less stretchy. loved the color on both but returning the the aqua. normally wear size 6,4,1,0,Initmates,Intimate,Swim
622,117,70,,I have bought other leggings at retailer and they were fine. these run small. i have to return.,3,1,0,Initmates,Intimate,Legwear
623,117,57,,Love love love these leggings and what an amazing price point!!!,5,1,0,Initmates,Intimate,Legwear
624,634,69,Overpriced but so comfortable,This is a great beach/pool or lounge piece. i debated keeping but couldn't pass up how comfortable it was. hugging without being tight. i will probably only wear it with some sort of layer like a jean jack or tied shirt rather than undone unless on on the beach but it's so comfortable. straps are a bit long.,4,1,12,General Petite,Intimate,Lounge
628,1059,80,Please restock!!!,These sold out in my size 16 before i even knew they existed! (probably a great indication that your in-between and plus-size customers are hungry for more options from you). please restock so i can get in on this apparently-perfect pant!,5,1,6,General,Bottoms,Pants
630,252,36,Great suit for busy moms!,This suit fits like a glove! i've had five kids and am currently nursing my last baby so i was looking for a suit to wear to the beach this summer when i'm just not feeling a bikini. this is it! it's comfortable and not binding easy to nursing and swim in. overall worth the extra splurge. i'm tall too so it was plenty long on my torso.,5,1,3,Initmates,Intimate,Swim
632,838,48,Boxy and short,This top looked super cute online but when it came it was super short and boxy. looked like a tent on me. this one went back the same day it came!,1,0,3,General,Tops,Blouses
635,634,37,Comfy and cute,I love this dress for day and night time. the back detail is cute and works well with a racerback bra. it runs big though. i'm normally a small in dresses and the arm holes are too big in the size small on me. it was also generally too big all over. i like the length and the weight of the fabric. i purchased in the off black color.,4,1,0,General Petite,Intimate,Lounge
637,838,58,,Cute comfortable top. fits well and will look great with skinny jeans.,5,1,0,General,Tops,Blouses
638,620,47,Very cute and comfortable,I got the shorts and the blue motif they're really comfortable and will look cute with a tank top for the weekend.   they true to size them usually a size 4 to 6 and i got a small and that works.,4,1,2,General,Bottoms,Shorts
640,1059,66,Great basic pants!,Perfect fit! can be dressed up or down! more colors please!,5,1,0,General,Bottoms,Pants
641,1059,51,Great pant,This is a great pant to wear to business and when you just need something more than a jean. not so skinny a 50+ woman can wear comfortably..,4,1,7,General,Bottoms,Pants
642,1059,38,Great staple,"These are great pants. i love the fit and the taper of the leg. these will be my ""go to"" black pants for the fall season!",5,1,0,General,Bottoms,Pants
645,634,36,,This is a great casual summer dress. cute as a cover up but in the black you can definitely wear it for daytime. if you're feeling bare throw on a white button down or chambray.,4,1,1,General Petite,Intimate,Lounge
649,1059,48,Gerat pants,I love these pants. i bought as basic pants to dress up or down and they look good with flats or heels. also i like you can wash instead of dry clean.,5,1,0,General,Bottoms,Pants
650,1059,49,Great pants that don't get baggy,These pants are awesome - please make them in other colors besides black and navy!,5,1,1,General,Bottoms,Pants
655,1008,46,Love it!,I bought the first skirt at the store. loved it so much i went online and found this one and bought it too!,5,1,1,General,Bottoms,Skirts
658,1008,22,,Love the fabric fit and cut of this skirt. it hits at just the perfect spot but runs a little large and is more flattering when sizing down (atleast on me) .,5,1,1,General,Bottoms,Skirts
661,1059,67,Perfect 24/7,I love this ankle length pant. it is so comfortable wear it with a tunic or tee. i can wear this for 3 seasons!,5,1,4,General,Bottoms,Pants
672,838,25,,This top is gorgeous! this is why i love retailer the quality is amazing. i just love how unique this top is. it's a light jean blue and white pin striped shirt with these beautiful red crochet sleeves. i'm a 34ddd i ordered the large and it's perfect. it is a bit shorter probably because of my chest but i was going to wear it with high waisted shorts anyways.  it's a must buy!,5,1,1,General,Tops,Blouses
678,1008,55,Great skirt!,This midi skirt has a really nice drape with great seasonal colors! can't wait to pair it with my wine color booties!,5,1,1,General,Bottoms,Skirts
682,873,57,,This is a fabulous style top! highly recommend this top. comfortable material. retailer is consistently tried and true to a classy style!,5,1,1,General,Tops,Knits
686,886,58,,,5,1,0,General,Tops,Knits
687,937,36,Itchy,This cardigan is very cute in the picture and i really wanted to love it but it just didn't seem worth the price. the material is kind of itchy to me and i wasn't a huge fan of the wide edges in the front. the colour is very nice and feminine.,3,0,1,General,Tops,Sweaters
689,937,39,So many compliments,This sweater is unique and really pretty.  i got so many compliments and i felt really girlie wearing it - it is so fun.,5,1,0,General,Tops,Sweaters
696,886,52,,Nice basic top...i will get plenty of use out of this! love the neckline.,5,1,0,General,Tops,Knits
699,1110,35,Runs very small,Don't buy this dress unless you are normally a medium or larger. order it one or two sizes smaller than your normal size. i ordered an xs and it's more like a medium or large.,2,0,11,General,Dresses,Dresses
702,886,46,Great neckline & good xl fit,I ordered the white solid & the white w/blue stripes versions in size xl. both fit me true to size. the fit matches the model's photos. i got these on sale and they're worth that price. they're great basics to have. the white/blue striped one is my favorite. it such a pretty combo. i love the unique neckline too. fun details for a basic tee.,4,1,0,General,Tops,Knits
703,1137,49,Simple luxury,"I found this at my local store and ended up buying both colors. the fabric is thicker than a t-shirt. these will go with so many things....jeans to dressy skirts. i normally wear a small but ended up buying the medium (2). the small fit me but was a little too short (for reference i am 5'8""). these will be a staple in my wardrobe all year round. love!",5,1,7,General,Trend,Trend
707,1087,32,,,5,1,0,General,Dresses,Dresses
710,745,28,The softest leggings,These leggings are some of the softest i own. i ordered both the black and the moss and each has a distinct pattern. they are perfect for colder climates and fit me like a glove.,5,1,2,Initmates,Intimate,Legwear
711,937,74,Great fall sweater,I took this sweater on a recent vacation up north. i wore it 3 evenings because the weather changed from hot to cool. loved the feel of being wrapped in a warm blanket. cocoon cardigan is an apt name. wasn't sure about pink but it is exactly as pictured. this will become a go-to in my sweater wardrobe.,4,1,1,General,Tops,Sweaters
715,937,38,Love,"I love this sweater! it is true to size and not itchy at all. i am 5'5"" and i bought the small. other reviews said it wasn't as long as it looks pictures but it is the same length on me as it shows on the model. you can wear this with so many things! i can't wait for fall so i can wear it.",5,1,1,General,Tops,Sweaters
720,937,38,New favorite,This sweater is like a giant hug. i wore it today and received so many compliments.,5,1,0,General,Tops,Sweaters
725,886,36,Great tee,I bought this a little ago in the denim color. it has become a favorite so much that i bought another in white.,5,1,1,General Petite,Tops,Knits
728,937,48,,,5,1,0,General,Tops,Sweaters
730,1087,36,Casual and comforable. i love it,I was not impressed with this dress online but when i tried it on at the store i fell in love. it's a great summer / fall dress. i love the sweater top and linen bottom. so many compliments on it!,5,1,0,General,Dresses,Dresses
732,1110,47,,,5,1,0,General Petite,Dresses,Dresses
737,886,33,,,5,1,0,General Petite,Tops,Knits
740,937,44,,I love this cardigan! i ordered the pink and it's a really pretty color. i wish it didn't run so big but xs will be cozy all winter.,5,1,1,General,Tops,Sweaters
753,1087,55,,,4,1,0,General,Dresses,Dresses
756,886,26,Basic with a twist,I love this shirt. it would be a fairly basic tee but the neckline makes it fun. it's very soft and comfortable. i bought the white with blue pattern and will probably purchase additional colors.,5,1,0,General Petite,Tops,Knits
757,886,37,Love this shirt!,I love this shirt. the neckline is flattering and the overall feel is very comfy.,5,1,0,General Petite,Tops,Knits
758,937,32,,,3,1,0,General,Tops,Sweaters
766,745,42,Finally found nice leggings!,I am a curvy woman and leggings are new to my world. i am sorry that i did not discover these leggings sooner because they are lovely. they are comfortable and cozy with a great fit. i am 150 lbs and 5'7 and the m/l fit perfectly. i have the black and plum colors. great purchase!,4,1,1,Initmates,Intimate,Legwear
769,937,32,Not for me,The fit is not as shown on the website. will be returning.,1,0,0,General,Tops,Sweaters
772,745,33,Super soft and comfortable,There's are just what i was looking for! these are perfect in texture and thickness...not too thick but not too thin. super soft fleece on the inside. i both both the black and green...i will most likely but the grey soon enough.,5,1,0,Initmates,Intimate,Legwear
778,895,25,Perfect,This product i better than the pic. nice fit and a nice throw on with boots nap glad i took a chance one it,5,1,1,General,Tops,Fine gauge
